id,titre,prix,prix_valide,ville_norm,quartier,source,type_transaction,type_bien,texte_modele,lien,image_url
fb_69a97f8e85f1dd70f9aef2c4,Villa a louer a lomé agoe legbassito,120000.0,True,Lomé,Lomé,Facebook,location,villa,villa a louer a lome agoe legbassito villa location lome lome,https://www.facebook.com/marketplace/item/26001993692761848/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645510724_949692784299012_1911102877010109309_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=92e707&_nc_ohc=1gJpXbjGRjoQ7kNvwGaSEJx&_nc_oc=AdnNkoO1eQi9WBISMpycMZO1kwthXXxVXN1iIPOl6qOkSOr5YhmAaf982mVrMzgaD8Y&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfxW_WYGR-CPB33Mp_pHIfVVTv7B5ckiJb0i6nkGJ6Buig&oe=69AF45E9
fb_69a97f8e85f1dd70f9aef2c5,Villa sur 1/2 lot a vendre a logope,32.0,False,Inconnu,Inconnu,Facebook,vente,villa,villa sur 1/2 lot a vendre a logope villa vente inconnu inconnu,https://www.facebook.com/marketplace/item/1290796246226607/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645075704_920715130569608_3308315573784826212_n.jpg?stp=c126.0.768.768a_dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=E8OyK1YlcqsQ7kNvwGimxia&_nc_oc=Adlmsoq6lbuv9ImNFbbhnXDt_ctcMaZM3wYN4GJBg5zd85CHJ3pYugAfGrk_0quIZww&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfwGnN6H1E9gBSj4b1Ulng1ZWUvE4y-B7rOpB7mVV956NA&oe=69AF4DE2
fb_69a97f8e85f1dd70f9aef2c6,Villa nickel à vendre Lomé Casablanca,240000.0,True,Lomé,Lomé,Facebook,vente,villa,villa nickel a vendre lome casablanca villa vente lome lome,https://www.facebook.com/marketplace/item/1875378803173932/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/647207172_122199796112791442_667876176468716322_n.jpg?stp=c146.0.708.708a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Efs2aFE38YgQ7kNvwF5fgYn&_nc_oc=AdmSXMSv8ey6E0yW7Z3CV8H5RWUQLdHw0va1GQzsaH1JHPgyRHwBHmhOgkfNzOtQVQg&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_Afxvm2wpfm6RAXNAuvDruNWS7-Q0CxQ8IJOevMcZTAEA7w&oe=69AF360C
coin_69a9781885f1dd70f9aef1e1,Terrain Kégué nouveau monde 1/2 lot carré (15/20) et 1/4 de...,21000000.0,True,Lomé,Kégué,CoinAfrique,terrain,terrain,terrain kegue nouveau monde 1/2 lot carre (15/20) et 1/4 de... terrain terrain lome kegue,https://tg.coinafrique.com/annonce/terrains/terrain-kegue-nouveau-monde-1-2-lot-carre-15-20-et-1-4-de-lot7-5-20-tres-bon-emplacement-et-bien-situe-ouvert-sur-une-rue-de-20m-et-sur-rue-de-30m-5790245,https://images.coinafrique.com/thumb_5790245_uploaded_image1_1771932982.jpg
fb_69a97f8e85f1dd70f9aef2c7,VILLA HAUT STANDING À VENDRE – SÉGBÉ AKATO,6000000.0,True,Inconnu,Inconnu,Facebook,vente,villa,villa haut standing a vendre – segbe akato villa vente inconnu inconnu,https://www.facebook.com/marketplace/item/859859630417003/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646372135_1278187224205513_3414423061834981625_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=5vJUn2ZWf44Q7kNvwHn2GCr&_nc_oc=Admj4DuDqw6ZiJwzyEgdklm5Z5gMztgORgPMkcTCaq2u_TDa1YyzE5vf3yFTMfvTARQ&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfxST1A089RF4VL2RHD765yqsn_08W8Rra948xb7zNmK1A&oe=69AF56A5
fb_69a97f8e85f1dd70f9aef2c8,"98002778, Villa triplex de 3 chambres salon à Adetikopé à 90000 f",90000.0,True,Inconnu,Inconnu,Facebook,autre,villa,"98002778, villa triplex de 3 chambres salon a adetikope a 90000 f villa autre inconnu inconnu",https://www.facebook.com/marketplace/item/1884292682157496/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/592219265_1826837137970248_3135223519034955486_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=92e707&_nc_ohc=cQJwybhELf4Q7kNvwE3-aCS&_nc_oc=AdkRHUWh2hT_2gPDIQ-tZ3yvpN3L7Svn8DZNgMJVhD1kXduk9emQtHNewBdN8USuQ9A&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfzBgtmwfbkMcTrMdr-mhCDh2lgawUJnMylW-LK1eZLU2w&oe=69AF57F0
fb_69a97f8f85f1dd70f9aef2c9,Villa de 3chambres salon wc douche cuisine interne + dépendance (AGODEKA),150000.0,True,Inconnu,Inconnu,Facebook,autre,villa,villa de 3chambres salon wc douche cuisine interne + dependance (agodeka) villa autre inconnu inconnu,https://www.facebook.com/marketplace/item/799560339843658/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/646292444_3050589858460462_954833198558252915_n.jpg?stp=c0.89.810.810a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=PsJAJbMEY9sQ7kNvwH8RwJE&_nc_oc=Adnpe1XzoS2X6yR-e2ZeBdW7u-7HG4Hx4z5ERzZa3E5eSM-OFt_17OYetdB0GdllycE&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_Afx0u-wAQvDaoUHluOkhamONrqThl6qBY7uG8d5_Pp1Ccw&oe=69AF54D6
fb_69a97f8f85f1dd70f9aef2ca,Villa bâtie sur 165m² de 5 chambre salon Wcd cuisine interne à kpogan,35.0,False,Lomé,Kpogan,Facebook,autre,chambre_salon,villa batie sur 165m² de 5 chambre salon wcd cuisine interne a kpogan chambre_salon autre lome kpogan,https://www.facebook.com/marketplace/item/3061180400736802/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645546992_1947465549465278_7482952374109012786_n.jpg?stp=c135.0.810.810a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=0HmHucsaEMUQ7kNvwFXInIK&_nc_oc=AdkM-T_6emoZQpQDAt7o4Wr5BZ25a2KkIhSlFxfNuCKdvMysrhdg8BOPAUd6Do2EL9k&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfxuDM_RO3FELRtm7AvALau4fVf0frWYY4vKldmzopy1Gg&oe=69AF5845
fb_69a97f8f85f1dd70f9aef2cb,Villa interne à Louer,60000.0,True,Inconnu,Inconnu,Facebook,location,villa,villa interne a louer villa location inconnu inconnu,https://www.facebook.com/marketplace/item/963875532630049/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646126606_1437752008093348_8116017890270333120_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=92e707&_nc_ohc=mtqYOtK4u1QQ7kNvwEOMq3H&_nc_oc=Adm2lWa1pq6ZAU9LnJmu_b8lzh_1K9S2AJDHgjfmuawzowcb5KpsP6vQF4o4JC81hkY&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfzttAJkD89VAaJN-QZWD1cKZtiKHQ0EKOkyAr0tZPf5Bw&oe=69AF5E6C
coin_69a9781885f1dd70f9aef1e2,Location villa duplex 05 pièces Avédji coconut,800000.0,True,Lomé,Avédji,CoinAfrique,location,villa,location villa duplex 05 pieces avedji coconut villa location lome avedji,https://tg.coinafrique.com/annonce/villas/location-villa-duplex-05-pieces-avedji-coconut-5767722,https://images.coinafrique.com/thumb_5767722_uploaded_image1_1770719812.jpg
