"id","document","metadata","titre","prix","ville","source","lien","image_url","date_migration"
"ask_69a97c3b85f1dd70f9aef25d","Titre: terrain,vendre,lome,legbassito. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""terrain,vendre,lome,legbassito"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","terrain,vendre,lome,legbassito","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1f9","Titre: Vente villa 04 pièces -Agoe bawara. Description: . Prix: 130000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/villas/vente-villa-04-pieces-agoe-bawara-5764718"", ""prix"": 130000000.0, ""image"": ""https://images.coinafrique.com/thumb_5764718_uploaded_image1_1770545323.jpg"", ""titre"": ""Vente villa 04 pièces -Agoe bawara"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Vente villa 04 pièces -Agoe bawara","130000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/villas/vente-villa-04-pieces-agoe-bawara-5764718","https://images.coinafrique.com/thumb_5764718_uploaded_image1_1770545323.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1fa","Titre: Terrain 6 lots clôtures à Agoè Zongo. Description: . Prix: 75000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terrain-6-lots-clotures-a-agoe-zongo-5783994"", ""prix"": 75000000.0, ""image"": ""https://images.coinafrique.com/thumb_5783994_uploaded_image1_1771585518.jpg"", ""titre"": ""Terrain 6 lots clôtures à Agoè Zongo"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terrain 6 lots clôtures à Agoè Zongo","75000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terrain-6-lots-clotures-a-agoe-zongo-5783994","https://images.coinafrique.com/thumb_5783994_uploaded_image1_1771585518.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1fb","Titre: Terrain clôturé à Zanguéra. Description: . Prix: 60000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terrain-cloture-a-zanguera-5783986"", ""prix"": 60000000.0, ""image"": ""https://images.coinafrique.com/thumb_5783986_uploaded_image1_1771585379.jpg"", ""titre"": ""Terrain clôturé à Zanguéra"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terrain clôturé à Zanguéra","60000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terrain-cloture-a-zanguera-5783986","https://images.coinafrique.com/thumb_5783986_uploaded_image1_1771585379.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1fc","Titre: Vente villa à Kpogan. Description: . Prix: 50000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/villas/vente-villa-a-kpogan-5806030"", ""prix"": 50000000.0, ""image"": ""https://images.coinafrique.com/thumb_5806030_uploaded_image1_1772712323.jpg"", ""titre"": ""Vente villa à Kpogan"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Vente villa à Kpogan","50000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/villas/vente-villa-a-kpogan-5806030","https://images.coinafrique.com/thumb_5806030_uploaded_image1_1772712323.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1fd","Titre: Terrain 30 lots Djagblé klobateme. Description: . Prix: 11000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terrain-30-lots-djagble-klobateme-5772835"", ""prix"": 11000000.0, ""image"": ""https://images.coinafrique.com/thumb_5772835_uploaded_image1_1770978084.jpg"", ""titre"": ""Terrain 30 lots Djagblé klobateme"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terrain 30 lots Djagblé klobateme","11000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terrain-30-lots-djagble-klobateme-5772835","https://images.coinafrique.com/thumb_5772835_uploaded_image1_1770978084.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1fe","Titre: Terrain 1 lots non loin du CEG, Koshigan. Description: . Prix: 45000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terrain-1-lots-non-loin-du-ceg-koshigan-5779823"", ""prix"": 45000000.0, ""image"": ""https://images.coinafrique.com/thumb_5779823_uploaded_image1_1771411625.jpg"", ""titre"": ""Terrain 1 lots non loin du CEG, Koshigan"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terrain 1 lots non loin du CEG, Koshigan","45000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terrain-1-lots-non-loin-du-ceg-koshigan-5779823","https://images.coinafrique.com/thumb_5779823_uploaded_image1_1771411625.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1ff","Titre: Terrain 3/4 lot à Agoe Zossimé. Description: . Prix: 30000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terrain-3-4-lot-a-agoe-zossime-5804228"", ""prix"": 30000000.0, ""image"": ""https://images.coinafrique.com/thumb_5804228_uploaded_image1_1772625644.jpg"", ""titre"": ""Terrain 3/4 lot à Agoe Zossimé"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terrain 3/4 lot à Agoe Zossimé","30000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terrain-3-4-lot-a-agoe-zossime-5804228","https://images.coinafrique.com/thumb_5804228_uploaded_image1_1772625644.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef200","Titre: Terrain 1 lot avec titre foncier à Agbalepedo Bodjona. Description: . Prix: 63000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-avec-titre-foncier-a-agbalepedo-bodjona-5783979"", ""prix"": 63000000.0, ""image"": ""https://images.coinafrique.com/thumb_5783979_uploaded_image1_1771585244.jpg"", ""titre"": ""Terrain 1 lot avec titre foncier à Agbalepedo Bodjona"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terrain 1 lot avec titre foncier à Agbalepedo Bodjona","63000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-avec-titre-foncier-a-agbalepedo-bodjona-5783979","https://images.coinafrique.com/thumb_5783979_uploaded_image1_1771585244.jpg","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef202","Titre: Terrain 1/4 de lot angle rue à Adidogomé molo molo Adroukpa.... Description: . Prix: 8500000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terrain-1-4-de-lot-angle-rue-a-adidogome-molo-molo-adroukpame-5783976"", ""prix"": 8500000.0, ""image"": ""https://images.coinafrique.com/thumb_5783976_uploaded_image1_1771585205.jpg"", ""titre"": ""Terrain 1/4 de lot angle rue à Adidogomé molo molo Adroukpa..."", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terrain 1/4 de lot angle rue à Adidogomé molo molo Adroukpa...","8500000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terrain-1-4-de-lot-angle-rue-a-adidogome-molo-molo-adroukpame-5783976","https://images.coinafrique.com/thumb_5783976_uploaded_image1_1771585205.jpg","2026-03-05 15:01:50.908205"
